name_en,name_fi,name_se,date,public_holiday,common_holiday
New Year's Day,Uudenvuodenpäivä,Nyårsdagen,2020-01-01,yes,yes
Epiphany,Loppiainen,Trettondedag jul,2020-01-06,yes,yes
Good Friday,Pitkäperjantai,Långfredagen,2020-04-10,yes,yes
Easter,Pääsiäissunnuntai,Påskdagen,2020-04-12,yes,yes
Easter Monday,Toinen pääsiäispäivä,Annandag påsk,2020-04-13,yes,yes
May Day,Vappu,Första maj,2020-05-01,yes,yes
Ascension Day,Helatorstai,Kristi himmelsfärdsdag,2020-05-21,yes,yes
Pentecost,Helluntai,Pingstdagen,2020-05-31,yes,yes
Midsummer Eve,Juhannusaatto,Midsommarafton,2020-06-19,no,yes
Midsummer,Juhannus,Midsommardagen,2020-06-20,yes,yes
All Saints' Day,Pyhäinpäivä,Alla helgons dag,2020-10-31,yes,yes
Independence Day,Itsenäisyyspäivä,Finlands självständighetsdag,2020-12-06,yes,yes
Christmas Eve,Jouluaatto,Julafton,2020-12-24,no,yes
Christmas Day,Joulupäivä,Juldagen,2020-12-25,yes,yes
Boxing Day,Tapaninpäivä,Annandag jul,2020-12-26,yes,yes
